AUTOMOBILE HIGH-TEMPERATURE PEST EXTERMINATION DEVICE	PATENT TITLE
FIELD	SECTION TITLE
The present invention relates to an automobile high-temperature pest extermination device which exterminates pests attached to automobiles by a high-temperature treatment.	TECHNICAL FIELD
BACKGROUND	SECTION TITLE
When exporting goods, if insects or the like native to the country of export are attached to the export goods, transportation vessel, etc., problems such as adverse impact on the ecosystem of the destination country by such insects or the like as invasive organisms may occur.	REFERENCE
In particular, damage to agricultural crops by these types of invasive organisms is serious.	REFERENCE
Such invasive organisms are treated as pests, and as a result, unloading of the export goods in the export destination country may not be permitted.	REFERENCE
Thus, strict quarantine of export goods is necessary.	REFERENCE
For example, in recent years, in New Zealand, the attachment of brown marmorated stink bugs to automobiles exported from Japan was confirmed.	REFERENCE
It is known that these stink bugs are difficult to find, extermination thereof is difficult, the bugs' fertility rates are high, etc.	REFERENCE
In New Zealand, where agriculture is extensive, stinkbugs are of particular interest as pests to be exterminated.	REFERENCE
As a result, transport vessels that have confirmed that stink bugs have attached thereto have been forced to leave the country, bringing about a deterioration in the export situation of automobiles from Japan.	REFERENCE
New Zealand has become a very important automobile export market for Japan since automobiles are not domestically produced.	REFERENCE
Thus, the deterioration in the export situation of automobiles from Japan not only has a significant impact on the Japanese economy, but it also hurts New Zealand's economy, which depends on the export automobiles from Japan for domestic distribution.	REFERENCE
Thus, the construction of a means for reliably exterminating pests represented by these stink bugs is an urgent matter.	REFERENCE
Generally, when pests are exterminated, fumigation using an agent such as alkyl iodide is performed (refer to, for example, Patent Literature 1).	REFERENCE
However, since automobiles are precision machines, pest extermination by means of a fumigation agent can adversely affect various components of the automobile, or the fumigation agent may remain in the filter or the like of the air conditioner, which can cause unpleasant odors, which is not preferable.	REFERENCE_PROBLEM
Furthermore, fumigation treatment takes several days, and costs increase due to the use of the fumigation agent.	REFERENCE_PROBLEM
Thus, in particular in the export of automobiles, in which hundreds of thousands of exported vehicles per year are subjected to treatment, pest extermination by fumigation is too time-consuming and it is necessary to secure an enormous treatment facility to facilitate such a large number of automobiles.	REFERENCE_PROBLEM
Appropriate pest extermination of export automobiles thereby is virtually impossible.	REFERENCE_PROBLEM
Thus, there is a need for a new method capable of efficiently and reliably exterminating pests for the treatment of a large number of export automobiles.	INVENTION_ADVANTAGE
[CITATION LIST]	SECTION SUBTITLE
PATENT LITERATURE]	SECTION SUBTITLE
[PTL 1] Japanese Unexamined Patent Publication (Kokai) No. 2003-267803	REFERENCE
SUMMARY	SECTION TITLE
[TECHNICAL PROBLEM]	SECTION SUBTITLE
The present invention was made in light of these problems and aims to provide an automobile high-temperature pest extermination device which can efficiently exterminate pests by a high-temperature treatment without the use of a fumigation agent.	INVENTION_ADVANTAGE
[SOLUTION TO PROBLEM]	SECTION SUBTITLE
A first invention provides an automobile high-temperature pest extermination device for applying, for a predetermined interval, heated air which has been heated to a pest extermination temperature to a to-be-treated automobile which is housed in a freely accessible manner in a treatment chamber to exterminate pests inside the automobile, the device comprising a circulation fan device arranged in the treatment chamber, a suction part of which is oriented toward the interior of the treatment chamber, a heating member mounted in a discharge part of the circulation fan device, and a rectification member for adjusting the flow direction of the heated air delivered into the chamber via the heating member.	REPHRASED CLAIM
A second invention provides the automobile high-temperature pest extermination device according to the first invention, wherein the rectification member circulates the air in the chamber in the horizontal directions.	REPHRASED CLAIM
A third invention provides the automobile high-temperature pest extermination device according to the first invention, wherein a plurality of treatment chambers are connected in series as a connectable treatment unit so as to house a plurality of to-be-treated automobiles therein.	REPHRASED CLAIM
A fourth invention provides the automobile high-temperature pest extermination device according to the third invention, wherein a plurality of the treatment chambers, which are connected in series, are arranged in parallel rows.	REPHRASED CLAIM
A fifth invention provides the automobile high-temperature pest extermination device according to the third invention, comprising a centralized management part for collectively managing the operations of the plurality of treatment chambers.	REPHRASED CLAIM
[ADVANTAGEOUS EFFECTS OF INVENTION]	SECTION SUBTITLE
According to the automobile high-temperature pest extermination device according to the first invention, since the device for applying, for a predetermined interval, heated air which has been heated to a pest extermination temperature to a to-be-treated automobile which is housed in a freely accessible manner in a treatment chamber to exterminate pests inside the automobile includes a circulation fan device arranged in the treatment chamber, a suction part of which is oriented toward the interior of the treatment chamber, a heating member mounted in a discharge part of the circulation fan device, and a rectification member for adjusting the flow direction of the heated air delivered into the chamber via the heating member, not only can pests be exterminated by a high-temperature treatment without the use of a fumigation agent, but also by providing a circulation fan device and heating member in the treatment chamber and circulating and distributing heated air, the efficiency of the overall process including the temperature rise to the pest extermination temperature and maintaining the temperature can be greatly improved, whereby cost can be reduced.	INVENTION_ADVANTAGE
According to the automobile high-temperature pest extermination device according to the second invention, in the first invention, since the rectification member circulates the air in the chamber in the horizontal directions, the interior of the treatment chamber can be efficiently heated and heated air can be effectively brought into contact with the interior and exterior of box-type automobiles having a floor plate and a roof plate, whereby appropriate pest extermination can be performed.	INVENTION_ADVANTAGE
According to the automobile high-temperature pest extermination device according to the third invention, in the first invention, a plurality of treatment chambers are connected in series as a connectable treatment unit so as to house a plurality of to-be-treated automobiles therein.	REPHRASED CLAIM
Thus, since each treatment chamber includes a circulation fan device and a heating member for circulating and distributing heated air, a large number of various types of to-be-treated automobiles can be efficiently treated and adaptation to the size of the installation location becomes easy, whereby versatility is improved.	INVENTION_ADVANTAGE
According to the automobile high-temperature pest extermination device according to the fourth invention, in the third invention, since a plurality of the treatment chambers, which are connected in series, are arranged in parallel rows, it is possible to treat a large number of to-be-treated automobiles.	INVENTION_ADVANTAGE
According to the automobile high-temperature pest extermination device according to the fifth invention, in the third or fourth invention, since a centralized management part for collectively managing the operations of the plurality of treatment chambers is included, it is possible to properly perform high-temperature treatment on a large number of to-be-treated automobiles, simplifying the management of the high-temperature treatment and improving processing efficiency.	INVENTION_ADVANTAGE
BRIEF DESCRIPTION OF DRAWINGS	SECTION TITLE
FIG. 1 is a schematic cross-sectional view of an automobile high-temperature pest extermination device according to an embodiment of the present invention.	FIGURE DESCRIPTION
FIG. 2 is a schematic view of a high-temperature pest extermination device in which a plurality of treatment chambers are connected.	FIGURE DESCRIPTION
FIG. 3 is a perspective view of a circulation fan device.	FIGURE DESCRIPTION
FIG. 4 is a schematic view of a high-temperature pest extermination device in which a plurality of treatment chambers are arranged in parallel rows.	FIGURE DESCRIPTION
FIG. 5 is a graph of changes in heating temperatures during high-temperature treatments.	FIGURE DESCRIPTION
DESCRIPTION OF EMBODIMENTS	SECTION TITLE
FIG. 1 shows an automobile high-temperature pest extermination device 10 according to an embodiment of the present invention, comprising a treatment chamber 20, a circulation fan device 30, heating members 40, and rectification members 45.	FIGURE DESCRIPTION
Reference sign C represents a to-be-treated automobile, reference numeral 50 represents vehicle interior temperature detection means, and reference numeral 60 represents heating temperature control means.	FIGURE DESCRIPTION
The high-temperature pest extermination device 10 is a device for exterminating pests attached to the interior or exterior of a to-be-treated automobile C, which is a conventional automobile such as a passenger car or truck, by a high-temperature treatment.	EMBODIMENT
The to-be-treated automobile C is, in particular, an automobile for export.	EMBODIMENT
The high-temperature pest extermination device 10 is mounted in a facility, such as a quarantine inspection facility or the like, at the port at which loading of automobiles for export is carried out.	EMBODIMENT
Target pests for extermination include insects such as stink bugs, cockroaches, weevils, moths, grasshoppers, flies, aphids, and includes larvae and eggs in addition to adult insects.	TECHNICAL TEMPLATE
As shown in FIG. 1, the treatment chamber 20 an enclosed space into and from which a to-be-treated automobile C can be received and discharged and in which the high-temperature treatment can be performed on the to-be-treated automobile C received therein.	FIGURE DESCRIPTION
The treatment chamber 20 is composed of a ceiling, floor, and side wall, each of which is made of a wall material having heat resistance and thermal insulation properties.	FIGURE DESCRIPTION
An inlet 22 and an outlet 23 for receiving and discharging the to-be-treated automobile C, respectively, are formed in the side wall 21.	FIGURE DESCRIPTION
The inlet 22 and the outlet 23 are arranged opposite each other and the to-be-treated automobile C can pass straight through the chamber from the inlet 22 to the outlet 23.	FIGURE DESCRIPTION
Furthermore, the inlet 22 and the outlet 23 may be formed by the same opening through which the to-be-treated automobile C, which is advanced (or reversed), can be loaded into the treatment chamber 20, and the to-be-treated automobile C, which is reversed (or advanced), can be discharged from the treatment chamber 20.	FIGURE DESCRIPTION
Self-propulsion or a transport means such as a conveyor can be appropriately used for the loading of the to-be-treated automobile C into the treatment chamber 20.	EMBODIMENT
In FIG. 1, reference numeral 21a represents a first side wall part in which the inlet 22 is provided, 21b represents a second side wall part facing opposite the first side wall part 21a, 21c represents a third side wall part on which a circulation fan device 30, which is described later, is arranged, and 21d represents a fourth side wall part facing opposite the third side wall part 21c.	FIGURE DESCRIPTION
Reference numeral 22a represents a loading door part for opening and closing the inlet 22 and 23a represents a discharge door part for opening and closing the outlet 23.	FIGURE DESCRIPTION
As shown in FIG. 1, a chamber interior temperature detection means 25 for detecting the temperature inside the chamber is arranged in the treatment chamber 20.	FIGURE DESCRIPTION
Any known temperature sensor can be used as the chamber interior temperature detection means 25.	EMBODIMENT
The chamber interior temperature detection means 25 is preferably mounted in an area in which the temperature is high as compared to the other areas in the treatment chamber 20.	EMBODIMENT
The installation location of the chamber interior temperature detection means 25 is, for example, in the vicinity of the discharge parts 33 of the circulation fan device 30, which is described later and which corresponds to a heated air generation source.	EMBODIMENT
Thus, by performing temperature detection in areas in which the temperature is high as compared to other areas, it can be assumed that the temperature inside t the treatment chamber 20 as a whole is not higher than the temperature detected by the chamber interior temperature detection means 25.	EMBODIMENT
Furthermore, the temperature inside the chamber can be more accurately estimated by mounting chamber interior temperature detection means 25 in several locations within the treatment chamber 20.	INVENTION_ADVANTAGE
The size of the treatment chamber 20 can be appropriately selected in accordance with the size of the to-be-treated automobile C, the number of to-be-treaded automobiles to be treated, the size of the installation location, processing efficiency, etc.	EMBODIMENT
Furthermore, as shown in FIG. 2, the treatment chamber 20 may be capable of accommodating a plurality of to-be-treated automobiles C, C by connecting a plurality of connectable units 20u, 20u, 20u in series (20 A).	FIGURE DESCRIPTION
In the illustrated example, the treatment chamber 20A, in which three units 20u, 20u, 20u are connected, houses a to-be-treated automobile C1, such as an ordinary passenger car, and a to-be-treated automobile C2 which is larger than the to-be-treated automobile C1, such as a bus.	FIGURE DESCRIPTION
In the treatment chamber 20A, a large to-be-treated automobile C2 is housed in a plurality (two in the illustrated example) of units 20u, 20u.	FIGURE DESCRIPTION
In other words, it is not necessary that a single unit 20u correspond to a single to-be-treated automobile C.	EMBODIMENT
Rather, housing can be performed in any way as long as the to-be-treated automobile can be housed within the connected treatment chamber 20A.	EMBODIMENT
Therefore, by connecting a plurality of treatment chambers (20u, 20u, 20u), the housing space for the to-be-treated automobiles C within the treatment chamber 20 can be freely adjusted.	INVENTION_ADVANTAGE
Thus, adaptation to the number of to-be-treated automobiles C and the size of the installation location becomes easy, whereby versatility is improved.	INVENTION_ADVANTAGE
Note that in the illustrated example, the units 20u, 20u are connected via the side wall parts.	FIGURE DESCRIPTION
However, the side wall parts may be configured to be detachable, such that the units 20u, 20u may be directly connected to each other at the time of connection without being connected via the side wall parts.	FIGURE DESCRIPTION
As shown in FIG. 1, the circulation fan device 30 is arranged inside the treatment chamber 20, circulates and distributes heated air in the treatment chamber 20, and operates to prevent unevenness in the heating of the chamber to maintain a substantially uniform heating temperature.	FIGURE DESCRIPTION
As shown in FIGS. 1 and 3, the embodied circulation fan device 30 comprises a suction part 32, a discharge part 33, and a large propeller fan 35, which is a fan member.	FIGURE DESCRIPTION
In the drawings, reference numeral 31 represents the housing member of the circulation fan device 30.	FIGURE DESCRIPTION
The circulation fan device 30 is arranged on the side wall part 21 (the third side wall part 21c) of the treatment chamber 30 so that the suction part 32 formed in the front surface of the housing member 31 faces towards the interior of the treatment chamber.	FIGURE DESCRIPTION
As shown in FIGS. 1 and 3, the fan member 35 is in the form of a suction fan which is arranged so as to face the interior of the treatment chamber 20 and which suctions air inside the treatment chamber 20 via the suction part 35.	FIGURE DESCRIPTION
The form of the fan member 35 may appropriately have two blades, three blades, four blades, or the like.	EMBODIMENT
The size of the fan member 35 may be appropriately selected in accordance with the size of the treatment chamber 20, heating efficiency, etc., and in the present embodiment, the fan member 35 is large-sized, having a diameter of, for example, about 1000 mm to 1500 mm.	FIGURE DESCRIPTION
One or a plurality (one in the illustrated example) of fan members 35 may be provided in accordance with the size of the treatment chamber.	EMBODIMENT
The heating member 40 is a member for heating the air suctioned by the fan member 35.	EMBODIMENT
Heating members 40 are arranged in the discharge parts 33, which are described later.	FIGURE DESCRIPTION
Any known heating device such as a heat exchanger, such as steam piping or hot water piping, or an electric wire heater, may be used as the heating member 40.	EMBODIMENT
The heating member 40 shown in FIG. 3 is a steam piping-type heat exchanger in which a plurality of straight tubular piping members 41 are arranged in parallel to allow steam to flow through each piping member 41.	FIGURE DESCRIPTION
Since a plurality of piping members 41 are formed in a straight pipe shape and arranged in parallel, the occurrence of temperature unevenness upon heating is suppressed, whereby thermal efficiency is improved.	INVENTION_ADVANTAGE
As shown in FIGS. 1 and 3, the discharge parts 33 are opening parts for ventilation which are formed by fully opening both side portions of the housing member 31 of the circulation fan device 30.	FIGURE DESCRIPTION
The heated air which is suctioned by the fan member 35 and heated by the heating members 40 is discharged from the treatment chamber 20 through the discharge parts 33.	EMBODIMENT
Furthermore, rectification members 45 for adjusting the flow direction of the heated air discharged into the chamber are provided in the discharge parts 33.	FIGURE DESCRIPTION
The rectification members 45 are wind direction restriction parts 46 which are provided on both ends of the front of the housing member 31 and which are formed of plate-shaped members which are bent and extend from the end parts toward the front side.	FIGURE DESCRIPTION
The rectification members 45 formed from the wind direction restriction parts also serve as guides for discharging the heated air from the discharge parts 33 in a straight forward direction without diffusing and for allowing the air in the chamber to flow into the suction part 32.	EMBODIMENT
Note that, though not illustrated, discharge fan members may be arranged in the discharge parts 33 as necessary.	EMBODIMENT
By arranging discharge fan members in the discharge parts 33, the discharge of heated air can be further promoted.	INVENTION_ADVANTAGE
As shown in FIG. 1, since the circulation fan device 30 described above is arranged so that the fan member 35 faces the interior of the treatment chamber 20, heated air is circulated in the horizontal directions in the treatment chamber 20.	FIGURE DESCRIPTION
In particular, first, air in the treatment chamber 20 is suctioned by the fan member 35 from the suction part 32 on the front side of the circulation fan device 30.	EMBODIMENT
This suctioned air is discharged toward both sides of the circulation fan device 30 via the discharge parts 33 on the rear side of the fan member 35.	EMBODIMENT
