VEHICLE SPEAKER DISPOSITION STRUCTURE	PATENT TITLE
TECHNICAL FIELD	SECTION TITLE
The present invention relates to a structure for disposing a speaker in a vehicle.	TECHNICAL FIELD
BACKGROUND	SECTION TITLE
Patent Document 1 suggests a structure of a vehicle body whose fender is provided therein with an acoustic transducer as a speaker.	REFERENCE
In Patent Document 1, the acoustic transducer is disposed in the fender located near a front corner of a vehicle cabin, and sound is reproduced from the vicinity of the front corner toward the vehicle cabin.	REFERENCE
By employing such a structure, an improvement in the reproduction efficiency, of high-quality sound including a low range, with a wide range of directivity in a plan view, is expected.	REFERENCE_ADVANTAGE
CITATION LIST	SECTION TITLE
PATENT DOCUMENT	SECTION TITLE
PATENT DOCUMENT 1: Japanese Unexamined Patent Publication (Japanese Translation of PCT Application) No. 2015-530952	REFERENCE
SUMMARY OF THE INVENTION	SECTION TITLE
TECHNICAL PROBLEM	SECTION TITLE
In Patent Document 1, however, the speaker is disposed in the fender, which is a non-rigid body member.	REFERENCE
There is a fear in such a structure that the vibration of the sound reproduced by the speaker may cause noise from the vehicle body, even if the speaker is jointed to the frame of the fender.	REFERENCE_PROBLEM
The technique disclosed herein is made in view of the problem.	JURIDICAL TEMPLATE
It is an objective of the present disclosure to provide a structure for disposing a speaker in a vehicle, while achieving both an improvement in the reproduction efficiency of the speaker and a reduction in the noise generated in a vehicle body due to sound reproduced from the speaker.	INVENTION_ADVANTAGE
SOLUTION TO THE PROBLEM	SECTION TITLE
The present disclosure is directed to a structure for arranging a speaker in a vehicle.	REPHRASED CLAIM
The structure includes: a hinge pillar including a hinge pillar inner and a hinge pillar outer that form a closed cross-section extending vertically;	REPHRASED CLAIM
and a speaker box fixed to the hinge pillar and configured to hold and house a speaker therein.	REPHRASED CLAIM
According to this configuration, the hinge pillar is located at the front corner of a vehicle cabin.	EMBODIMENT
Thus, the joining of the speaker box to the hinge pillar allows for arrangement of the speaker at the front corner of the vehicle cabin, and efficient transmission of the sound generated by the speaker from the corner toward the vehicle cabin.	INVENTION_ADVANTAGE
In addition, since the speaker box that holds and houses the speaker inside is fixed to the rigid hinge pillar, the abnormal noise according to the sound generated by the speaker effectively decreases.	INVENTION_ADVANTAGE
Therefore, an improvement in the reproduction efficiency of the speaker and a reduction in the abnormal noise of the vehicle generated by the speaker are both achievable.	INVENTION_ADVANTAGE
As one aspect of the present disclosure, an opening may be open in a transverse direction of the vehicle in the hinge pillar inner.	REPHRASED CLAIM
The speaker box may include a box part formed of a sheet metal member including a bottom and side walls that form a housing space housing the speaker, together with the bottom.	REPHRASED CLAIM
The box part may be arranged in the opening, with the bottom located in the closed cross-section and with the housing space open inside a vehicle cabin, and may be joined to an edge of the opening.	REPHRASED CLAIM
According to this configuration, the box part is joined to the edge of the opening of the hinge pillar inner, and is the sheet metal member.	EMBODIMENT
The hinge pillar is provided with the opening, whose edge is jointed to the speaker box.	EMBODIMENT
This also allows the hinge pillar to exhibit a sufficient strength.	INVENTION_ADVANTAGE
The advantages described above, that is, an improvement in the reproduction efficiency of the speaker and a reduction in the abnormal noise of the vehicle generated by the speaker are both more achievable.	INVENTION_ADVANTAGE
The term "sheet metal member" is here not intended to limit the processing method, and represents a general metal member to be joined to the vehicle body.	DEFINITION
As one aspect of the present disclosure, a lower part of the hinge pillar inner may include a rear edge extending rearward toward a bottom.	REPHRASED CLAIM
The box part may be arranged at the lower part of the hinge pillar inner.	REPHRASED CLAIM
A lower rear of the box part may be bulged more rearward than an upper rear of the box part along a lower rear edge of the hinge pillar inner.	REPHRASED CLAIM
The lower rear may include an inclined surface between a vehicle outer side surface being the bottom of the box part and a lower surface being a part of the side walls of the box part.	REPHRASED CLAIM
According to this configuration, in the electrodeposition process, the electrodeposition liquid, which has flowed into the space inside the box part, is efficiently discharged, without retaining the electrodeposition liquid particularly at the lower rear (particularly, the inclined surface of the lower rear).	INVENTION_ADVANTAGE
Reliable rust-proofing treatment is thus possible.	INVENTION_ADVANTAGE
This allows for joining of the speaker box to the hinge pillar in the assembly process of the vehicle body.	INVENTION_ADVANTAGE
In addition, assume that an inner box part is arranged more inward than the box part in the vehicle after the electrodeposition process.	INVENTION_ADVANTAGE
