APPARATUS AND METHOD FOR CLEANING AND RECOVERING PAINT IN PAINTING PLANTS	PATENT TITLE
The present invention relates to the technical field of the apparatuses for painting pieces made of sundry materials (wood, glass, fibrocement, etc.).	TECHNICAL FIELD
In particular, the invention relates to an extractable trolley for the cleaning of the conveying system of the pieces and for recovering paint.	TECHNICAL FIELD
Apparatuses provided with a cleaning trolley, with different possibilities of lateral and frontal access, are known in the art.	REFERENCE
Generally, frontal access trolleys require a production stop in order to access said trolleys.	REFERENCE
EP1964794B1 of the same applicant describes a cleaning system of the belt conveying said pieces.	REFERENCE
Patent application IT102016000094514, in the name of the same applicant, describes a system wherein the function of paint recovery and cleaning are independent so as to provide a plurality of independent recovery units, so that the cleaning of a cleaning or recovery unit can be performed without production stop.	REFERENCE
Said system is preferably laterally extracted.	REFERENCE
Nonetheless, practice showed the limits of the known art, in particular the encumbrance of the second solution, and the imperfect efficiency of paint recovery for the first solution.	REFERENCE_PROBLEM
Aim of the present invention is providing an improved paint recovery and cleaning trolley, having the smallest encumbrance possible and the best efficiency of paint recovery and cleaning operation.	INVENTION_ADVANTAGE
This object is achieved by an apparatus and a method having the features of the independent claims.	JURIDICAL TEMPLATE
Advantageous embodiments and refinements are specified in claims dependent thereon.	JURIDICAL TEMPLATE
The paint recovery and cleaning system according to the present invention comprises just one paint recovery and cleaning trolley, wherein the functions of paint recovery and cleaning of the conveying belt are integrated, providing a cleaning system provided with the best efficacy, and a minimal encumbrance.	INVENTION_ADVANTAGE
The paint recovery and cleaning system according to the present invention provides the presence, in just one trolley, of a subunit for paint recovery, and of a subunit for the fine cleaning of the conveying belt.	EMBODIMENT
Said subunits are very similar, providing the cooperation of a reverse roller removing paint from the return section of the conveying belt, a doctor blade removing the solvent from the conveying belt, solvent that is supplied by a nozzle, a doctor blade tangentially adhering to said roller for its whole length.	EMBODIMENT
Said four components (reverse roller, drying doctor blade, adhering doctor blade and return section of the conveying belt) form a chamber having the shape of a triangular prism, whose rectangular faces, made of said reverse roller, doctor blades and belt generate a continuous closed surface, while the two opposed triangular bases are open.	EMBODIMENT
Said configuration, which is open at the two opposed end in form of triangular bases placed on the sides of the apparatus for applying paint, allows a limited aeration that reduces the evaporation of the solvent.	EMBODIMENT
It is worthwhile mentioning that said trolley can occupy different positions with respect to the apparatus for applying paint:	EMBODIMENT
Operative position, wherein said trolley is totally inserted under said conveying belt, and the paint recovery subunit and cleaning subunits are lifted so that they are in contact with the lower return section of said conveying belt;	REPHRASED CLAIM
Inactive inserted position, wherein said trolley is totally inserted under said conveying belt, but the paint recovery subunit and cleaning subunit are lowered so that they are not in contact with the lower return section of said conveying belt;	REPHRASED CLAIM
Lateral extracted position, wherein said trolley is totally extracted from the apparatus for applying paint.	REPHRASED CLAIM
It is worthwhile mentioning that the space under the conveying belt is very limited, and the construction of the trolley according to the present invention was optimized in order to make every single paint recovery and cleaning trolley as compact as possible.	INVENTION_ADVANTAGE
In a preferred configuration, the trolley is provided in two specimens, so that one trolley placed in the working position in contact with the conveying belt can be used, while a second trolley is maintained in a resting position, not in contact with the conveying belt.	EMBODIMENT
This solution has the advantage to allow the maintenance of one of said two trolleys while the other is used for paint recovery and cleaning, without the need to stop the paint applying apparatus.	INVENTION_ADVANTAGE
Nonetheless, it is worthwhile specifying that the apparatus can perfectly work even if it is provided with just one paint recovery and cleaning trolley.	INVENTION_ADVANTAGE
The method according to the present invention comprises the following steps:	JURIDICAL TEMPLATE
Inserting a paint recovery and cleaning trolley laterally with respect to the advancing direction of the pieces to be painted;	REPHRASED CLAIM
Bringing the respective roller and doctor blade of said trolley into contact with the conveying belt to be cleaned;	REPHRASED CLAIM
Using the paint recovery and cleaning trolley for the desired time;	REPHRASED CLAIM
Interrupting the contact between roller and doctor blade with the conveying belt;Laterally extracting the paint recovery and cleaning trolley;	REPHRASED CLAIM
all the mentioned operations can be performed while the paint applying apparatus is painting.	EMBODIMENT
A first advantage of the present invention is the possibility of preventing the production stop connected with the cleaning and maintenance of paint recovery and cleaning trolleys.	INVENTION_ADVANTAGE
This is particularly advantageous in complex production lines comprising a plurality of apparatuses placed in series, wherein the stop of a single apparatus involves the stopping of all the apparatuses belonging to the production line.	INVENTION_ADVANTAGE
A second advantage is providing a modular solution to the problem, preferably providing at least two paint recovery and cleaning units, one of which is working while the other can be extracted for maintenance, even when the paint applying apparatus is working.	INVENTION_ADVANTAGE
Alternatively, the trolley which underwent maintenance, already available in an inactive inserted position, is ready to be used for a fast colour change with recovery of the paint of a different colour, without the need to clean the trolley used up to that moment.	INVENTION_ADVANTAGE
In a particularly preferred solution, the paint applying apparatus is provided with three trolleys, two of which are inserted in the paint applying apparatus, while the third can undergo maintenance in a cleaning station remote from the paint applying apparatus.	EMBODIMENT
A third advantage is that the complete extraction of the cleaning trolley from the apparatus is eased in order to move it to a cleaning station remote from the paint applying apparatus, thanks to the fact that the trolley is provided with a ground support and a guide system for the lateral sliding of the trolley.	INVENTION_ADVANTAGE
