ENZYMATIC PROCESS FOR THE PREPARATION OF DROXIDOPA	PATENT TITLE
Technical Field	SECTION TITLE
The present invention relates to a process for the preparation of Droxidopa by means of enzymatic reduction.	TECHNICAL FIELD
Background Art	SECTION TITLE
Droxidopa is chemically known as (2S,3R)-2-amino-3-(3,4-dihydroxyphenyl)-3-hydroxypropanoie acid and it is structurally represented by the following formula (I-a).	REFERENCE
It is also known as L-threo-dihydroxyphenylserine, L-threo-DOPS, L-DOPS.	REFERENCE
Droxidopa is available in the market as Northera® as capsules with dosages of 100 mg, 200 mg and 300 mg for oral administration.	REFERENCE
Droxidopa is an orally active, synthetic norepinephrine precursor that was originally launched in 1989 in Japan for the oral treatment of frozen gait or dizziness associated with Parkinson's disease and for the treatment of orthostatic hypotension, syncope or dizziness associated with Shy-Drager syndrome and familial amyloidotic polyneuropathy.	DEFINITION
In 2011, the product was filed for approval in the U.S.A. and in 2014 Northera® was approved for the treatment of orthostatic dizziness, light headedness, or the "feeling that you are about to black out" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure, dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy.	REFERENCE
Droxidopa replenishes depleted norepinephrine, allowing for reuptake of norepinephrine into peripheral nervous system neurons.	REFERENCE_ADVANTAGE
This reuptake, in turn, stimulates receptors far vasoconstriction, providing physiological improvement in symptomatic neurogenic orthostatic hypotension patients.	REFERENCE_ADVANTAGE
It has also shown efficacy in other diseases, such as depression.	REFERENCE_ADVANTAGE
Droxidopa is a synthetic amino acid analog that is directly metabolized to norepinephrine by dopadecarboxylase, which is extensively distributed throughout the body.	DEFINITION
Its chemical preparation generally involves a multi-step synthesis.	DEFINITION
Droxidopa is disclosed in US Patent No. 3,920,728 (hereinafter referred to as US'728 patent).	REFERENCE
The US'728 patent also provides a process for the preparation of droxidopa comprising the steps of (i) reaction of 3,4-dibenzyloxybenzaldehyde with glycine, followed by treatment with sodium acetate trihydrate and diethylamine to obtain racemic- threo/erythro-3-(3,4-dibenzyloxyphenyl)-serine;	REFERENCE
(ii) treatment of the compound obtained in step (i) with carbobenzoxy chloride to obtain racemic-threo/erythro-3-(3,4-dibenzyloxyphenyl)-N-carbobenzoxyserine;	REFERENCE
(iii) treatment of the compound obtained in step (ii) with dicyclohexylamine to obtain racemic-threo-3-(3,4-dibenzyloxyphenyl)-N-carbobenzoxyserine dicyclohexylamine salt, which by treatment with HCl gas in the presence of ethyl acetate yields racemic-threo-3-(3,4-dibenzyloxyphenyl)-N-carbobenzoxyserine;	REFERENCE
(iv) treatment of the compound obtained in step (iii) with (+)-ephedrine to yield (+)-ephedrine salt of L-threo-3-(3,4-dibenzyloxyphenyl)-N-carbobenzoxyserine;	REFERENCE
(v) hydrolysis of the compound obtained in step (iv) to yield L-threo-3-(3,4-dibenzyloxyphenyl)-N-carbobenzoxyserine and (vi) reduction of the compound obtained in step (v) over Pd/C to yield L-threo-3-(3,4-dibenzyloxyphenyl)-serine.	REFERENCE
The process disclosed in US'728 patent is an elaborate and tedious process for commercial manufacturing.	REFERENCE_PROBLEM
Also, the chiral resolution to obtain threo/erythro isomer results into 50% loss of the undesired isomer, which affects the overall yield of the process.	REFERENCE_PROBLEM
Typically, one or more of the necessary steps in the synthesis require that reactive sites, other than the site targeted for the reaction, are temporarily protected.	REFERENCE
Thus, the synthesis of Droxidopa typically comprises at least one protecting and associated deprotecting step.	REFERENCE
For example, the catechol moiety, the amine moiety, and/or the carboxyl moiety may require protection and subsequent deprotection, depending upon the synthetic route and the reagents used in the preparation of Droxidopa.	REFERENCE
Several synthetic and enzymatic approaches to Droxidopa have been described in the literature.	REFERENCE
Most of them entail the coupling between a conveniently protected 3,4-dihydroxy benzaldehyde with glycine to yield a diastereomerically enriched mixture of threo-DOPS.	REFERENCE
This approach has been described in patent application JP 2007190009(A) and entails the coupling of glycine or a salt thereof with 3,4-dihydroxybenzaldehyde in the presence of a threonine aldolase to form the corresponding enantiomerically enriched amino acid derivative.	REFERENCE
An alternative has been described by Microbiochemical Research Foundation in patent application EP0112606 A1, is not stereoselective and relies on fractional crystallizations to separate a threo/erythro mixture.	REFERENCE
The diastereomerically enriched mixture of the protected threo-DOPS can be converted into the optically active D- and L-threo-DOPS by optically resolving a racemic mixture of threo-2-(3,4-methylenedioxyphenyl)-N-carbobenzyloxyserine or threo-2-(3,4-dibenzyloxy-phenyl)-N-carbobenzyloxyserine, as detailed in patents US 4319040 and US 4480109, respectively.	REFERENCE
Following optical resolution of these racemic mixtures to give the desired L-enantiomer, the methylenedioxy or benzyl groups must be removed from the catechol moiety and the carbobenzyloxy (Cbz) group must be removed from the amine group to give Droxidopa.	REFERENCE
The US patent 4562263 discloses a process for preparation of droxidopa comprising optical resolution of N-phthaloyl-3-(3,4-methylenedioxyphenyl)serine using optically active amine selected from the group consisting of strychinine, cinconidine, L-norephedrine, S-2-amino-1,1-diphenyl-l-propanol and L-3-hydroxy-3-(4-nitrophenyl)-2-amino-l-propanol to yield L-N-phthaloyl-3-(3,4-methylenedioxyphenyl)serine, reacting the resulting compound with a Lewis acid to form N-phthaloyl-3-(3,4-dihydroxyphenyl)-serine; which is then deprotected by removal of phthaloyl group with hydrazine to yield L-threo-3-(3,4-dihydroxyphenyl)-serine.	REFERENCE
The process involves use of complex agents for isomer separation, which also results in < 50% of desired isomer.	REFERENCE
Also, the hydrazine used for the deprotection of phthaloyl group is known to be genotoxic and thus it is required to remove traces of hydrazine from the final product.	REFERENCE
According to an alternative approach described in patent application EP 201039 A1, a racemic mixture of threo-2-(3,4-dibenzyloxy-phenyl)-N-acetylserine can be converted into L-threo-2-(3,4-dibenzyloxy-phenyl)-serine by treatment with a L-amino acylase.	REFERENCE
A disadvantage associated with all the synthetic pathways cited above is that in converting a racemic starting material using an enantioselective enzyme or an optically active amine, a maximum yield of 50% of the enantiomerically pure end product can be reached.	REFERENCE_PROBLEM
The use of resolving agent renders the process costly.	REFERENCE_PROBLEM
Partial recycling of the resolving agent is feasible but such recycling is costly as it requires additional processing and is also associated with waste generation.	REFERENCE_PROBLEM
The undesired enantiomer cannot be recycled and is discarded.	REFERENCE_PROBLEM
This yield may be further reduced due to the need for high chiral purity (> 95% enantiomeric excess).	REFERENCE_PROBLEM
An alternative procedure for the stereoselective preparation of Droxidopa has been described in patent application EP375554 A1.	REFERENCE
According to the latter, the two stereocenters are introduced simultaneously with a Noyori-type asymmetric hydrogenation with dynamic kinetic resolution (AH-DKR).	REFERENCE
The process is particularly interesting because it is catalyzed by the cheapest of the transition metals (ruthenium) and of the chiral phosphines (Binap) employed in asymmetric hydrogenations.	REFERENCE
However the proposed conditions are not conveniently suitable for an industrial production of Droxidopa, because: 100 bar of hydrogen pressure is out of reach in normal industrial vessels;	REFERENCE_PROBLEM
the reported reaction time is unpractical (almost 1 week);	REFERENCE_PROBLEM
the best solvent is dichlorometane (which should be avoided for environmental concerns);	REFERENCE_PROBLEM
and the deprotection of the methylenedioxy moiety requires large excesses of AlCl3 or AlBr3.	REFERENCE_PROBLEM
The said prior art processes are therefore disadvantageous for commercial manufacturing due to non-feasibility of the reaction process owing to use of genotoxic reagents, and due to the elaborate and tedious nature of the process, providing low yield of the desired isomer.	REFERENCE_PROBLEM
Thus, there is a clear need to develop an better rout of synthesis which would provide the desired L-threo isomer in an efficient and more specific manner.	INVENTION_ADVANTAGE
Thus, there is a need to develop a process for preparation of droxidopa, which avoids the synthetic process involving chiral resolution to obtain desired L-threo isomer, thereby making the process of the present invention simple, efficient, cost-effective and industrially feasible process.	INVENTION_ADVANTAGE
The disclaimed compounds are specifically described in the:	REFERENCE
Journal of the Chemical Society (1947), 658-62;	REFERENCE
Japan application JP 5504601 (A);Chinese application CN 107137338(A);	REFERENCE
which discloses an completely different process of synthesis and use of these compounds.	REFERENCE
Summary of invention	SECTION TITLE
The problem addressed by the present invention is therefore that of providing an better process for the preparation of the L-threo isomer of Droxidopa, the compound represented by formula (I-a), which is an enantioselective process.	INVENTION_ADVANTAGE
This problem is solved by a process for the preparation of Droxidopa as outlined in the annexed claims, whose definitions are integral part of the present description.	JURIDICAL TEMPLATE
Particularly, the present invention provides a process for producing the active ingredient Droxidopa by means of enzymatic reduction of compound of formula (II):wherein R1, R2 is independently hydrogen, acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group.	REPHRASED CLAIM
Preferably, said enzymatic reduction is carried out by the ketoreductase KRED® 130.	REPHRASED CLAIM
In a further aspect, the present invention provides the use of a ketoreductase for the enzymatic reduction of compound of formula (II).	REPHRASED CLAIM
Aim of this invention is to provide a chemoenzymatic method to prepare Droxidopa or intermediates useful in the synthesis thereof, characterized by high yields and levels of stereocontrol avoiding the use of dangerous reagents and providing the desired compounds with a purity appropriate for the use in pharmaceuticals.	INVENTION_ADVANTAGE
Description of embodiments	SECTION TITLE
The object of present invention is a process for the preparation of Droxidopa of formula (I) or salt thereof:comprising the following steps:	REPHRASED CLAIM
A) enzymatic reduction of a compound of formula (II):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen or a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group;	REPHRASED CLAIM
to give the compound of formula (III):wherein R1, R2, R3, R4 have the same meaning of above;	REPHRASED CLAIM
by means of a ketoreducyase enzyme;	REPHRASED CLAIM
B) conversion of the compound of formula (III) obtained in the step a) to Droxidopa of formula (I).	REPHRASED CLAIM
According to the invention, the process provide the L-threo-3,4-Dihydroxyphenylserine of formula (I):	EMBODIMENT
The compound of formula (I) having the configuration, on the two stereogenic carbons, i.e. C bonded to hydroxyl group and C bonded to amino group, respectively R and S.	EMBODIMENT
Accordingly to the name (2S,3R)-3-(3,4-Dihydroxyphenyl)-2-amino-3-hydroxypropanoic acid.	EMBODIMENT
In an alternative embodiments in the compounds of formula (II) and (III), R1 and R2 could be independent methyl, benzyl, or a C1-C4 alkyl groups jointed to form a cycle.	EMBODIMENT
According the preferred embodiment, in the compounds of formula (II) and (III) the R3 is ethyl or methyl.	REPHRASED CLAIM
More preferred R3 is ethyl.	EMBODIMENT
The definition of linear or branched C1-C4 alkyl thus also includes methyl, ethyl, n-propyl, isopropyl, n-butyl, isobutyl, sec-butyl, tert-butyl.	TECHNICAL TEMPLATE
R4 could be hydrogen or an amine protecting group which can be selected in the group comprising benzyl, formyl, acetyl, benzoyl, phenylsulfonyl, tolylsulfonyl, methylsulfonyl, (CO)OR5 or (CO)R5 where R5 is C1-C5 linear or branched alkyl or R5 is aryl-C0-4 alkyl or C0-4 alkyl-(unsubstituted or substituted aryl).	TECHNICAL TEMPLATE
The linear or branched C1-5 alkyl group of R5 can also be, unsubstituted or substituted with one, two or three substituents chosen in the group of hydroxyl and C1-5 alkoxy.	EMBODIMENT
The definition of linear or branched C1-C5 alkyl thus also includes methyl, ethyl, n-propyl, isopropyl, n-butyl, isobutyl, sec-butyl, tert-butyl, n-pentyl, neopentyl, 1-methylbutyl, 2-methylbutyl, 3-methylbutyl, 1,1-dimethylpropyl, 1,2-dimethylpropyl, 2,2-dimethylpropyl, 1-ethylpropyl.	TECHNICAL TEMPLATE
Preferred R4 groups are pivaloyl, t-butyloxycabonyl (synonymous: tert-butyloxycarbonyl, Boc, terbutylcarbamate), methylcarbamate, ethylcarbamate or benzyloxycabonyl (Z or Cbz).	TECHNICAL TEMPLATE
More preferred R4 groups are terbutylcarbamate, methylcarbamate, ethylcarbamate or benzyloxycabonyl (Z or Cbz).	TECHNICAL TEMPLATE
