IMPROVED LOOPING MACHINE AND RELATED METHOD	PATENT TITLE
FIELD OF APPLICATION	SECTION TITLE
The present invention relates to an improved looping machine and a related looping method.	TECHNICAL FIELD
PRIOR ART	SECTION TITLE
As is known, looping is a processing technique used in the textile field which consists in joining together two pieces of fabric.	DEFINITION
For example, it is used to join collars, cuffs and sleeves to the rest of the garment, to thus be able to make the finished product.	DEFINITION
The joining of the flaps is performed by picking stitch by stitch both ends of the fabrics.	REFERENCE
The joining thread is "knitted" between the terminal rank of the two flaps, thus obtaining the continuity of the stitch.	REFERENCE
The joining made in this way is very flat and actually imperceptible.	REFERENCE_ADVANTAGE
The looping operation appears to be a process with major limitations:	REFERENCE_PROBLEM
it is slow and expensive;	REFERENCE_PROBLEM
in this regard, it is estimated that it takes more than 70% of a garment's production time;	REFERENCE_PROBLEM
the current looping machine is not flexible, in fact when the fabric fineness changes it requires a different setup and therefore a setup time that limits its productivity;	REFERENCE_PROBLEM
the looping operator needs great experience and skills to be able to reduce errors to a minimum and acquire a certain speed, skills he/she acquires after several months of practice,one of the main problems encountered by those working in this sector is excessive eyestrain due to the ways in which the looping is performed;	REFERENCE_PROBLEM
such strain, if prolonged over time, can lead to a progressive reduction in the operator's vision.	REFERENCE_PROBLEM
For these reasons, providing a looping machine capable of identifying autonomously where to make the stitches, besides being an advantage in terms of speed, costs and accuracy of execution, improves the working conditions of those who use the machine, making the task less heavy and preventing workplace accidents.	INVENTION_ADVANTAGE
Figure 1 shows a traditional looping machine.	FIGURE DESCRIPTION
It is a circular machine where the operator must insert the stitches at the ends of the two fabrics into the tips.	FIGURE DESCRIPTION
Thereafter, the machine makes the looping points at the pre-positioned stitches.	FIGURE DESCRIPTION
There are also examples in the art of looping machines of the automatic or semi-automatic type which aim to solve at least partially the aforementioned problems of the manual type machine.	REFERENCE
However, these machines are not free from problems that prevent or limit the correct functioning thereof.	REFERENCE_PROBLEM
