SHOVEL, SHOVEL CONTROL METHOD, AND MOBILE INFORMATION TERMINAL	PATENT TITLE
TECHNICAL FIELD	SECTION TITLE
The present invention relates to a shovel, a method for controlling the shovel, and a mobile information terminal.	TECHNICAL FIELD
BACKGROUND ART	SECTION TITLE
There is a known shovel where an operator performs a preset operation according to instructions in the preset operation displayed on a display device in a cabin, and values detected by sensors while the preset operation is performed by the operator are stored in a storage in association with the preset operation (see, for example, Patent Document 1).	REFERENCE
For example, the values detected by the sensors and associated with the preset operation are transmitted to a management apparatus and used for the diagnosis of failure of the shovel.	REFERENCE
[Related-Art Document]	SECTION SUBTITLE
[Patent Document]	SECTION SUBTITLE
[Patent Document 1]Japanese Laid-Open Patent Publication No. 2015-063864	REFERENCE
DISCLOSURE OF INVENTION	SECTION TITLE
PROBLEMS TO BE SOLVED BY THE INVENTION	SECTION TITLE
Here, because a shovel includes a large number of driven parts, a preset operation is complicated.	REFERENCE_PROBLEM
Accordingly, it is burdensome for an operator to perform a preset operation according to instructions in the preset operation displayed on the display device in the cabin.	REFERENCE_PROBLEM
Also, operational variations tend to occur due to differences in the skill of operators.	REFERENCE_PROBLEM
In view of the above-described problems, one object of the present invention is to provide a shovel that can reduce the burden of an operator and operational variations.	INVENTION_ADVANTAGE
MEANS FOR SOLVING THE PROBLEMS	SECTION TITLE
According to an embodiment of the present invention, a shovel includes a lower traveling body, an upper rotating body that is rotatably mounted on the lower traveling body, an attachment attached to the upper rotating body, state detecting sensors that detect operational states of components of the shovel and include an attitude sensor that detects an attitude of the attachment, a controller that executes a preset operation based on a detection value detected by the attitude sensor, and a storage that stores detection values detected by the state detecting sensors during execution of the preset operation by the controller in association with the preset operation.	REPHRASED CLAIM
ADVANTAGEOUS EFFECT OF THE INVENTION	SECTION TITLE
An embodiment of the present invention makes it possible to provide a shovel that can reduce the burden of an operator and operational variations.	INVENTION_ADVANTAGE
BRIEF DESCRIPTION OF THE DRAWINGS	SECTION TITLE
FIG. 1 is a side view of an example of a shovel according to an embodiment of the present invention;	FIGURE DESCRIPTION
FIG. 2 is a block diagram illustrating an example of a configuration of a driving system of the shovel of FIG. 1;	FIGURE DESCRIPTION
FIG. 3 is a drawing illustrating an example of a diagnosis menu selection screen displayed on an image display;	FIGURE DESCRIPTION
FIG. 4 is a flowchart illustrating an example of a process for obtaining data used for analysis at a management apparatus;	FIGURE DESCRIPTION
