WIND TURBINES AND METHODS	PATENT TITLE
The present disclosure relates to a wind turbine comprising electrical components and to systems comprising such wind turbines.	TECHNICAL FIELD
The present disclosure further relates to methods for connecting a wind turbine main transformer to a grid, in particular when the wind turbine main transformer has previously been disconnected from the grid.	TECHNICAL FIELD
BACKGROUND	SECTION TITLE
Modern wind turbines are commonly used to supply electricity into the electrical grid.	REFERENCE
Wind turbines of this kind generally comprise a tower and a rotor arranged on the tower.	REFERENCE
The rotor, which typically comprises a hub and a plurality of blades, is set into rotation under the influence of the wind on the blades.	REFERENCE
Said rotation generates a torque that is normally transmitted through a rotor shaft to a generator, either directly or through the use of a gearbox.	REFERENCE
This way, the generator produces electricity which can be supplied to the electrical grid via transformers.	REFERENCE
Wind turbines may be arranged together forming a wind park, with a single point of connection to the electrical grid, i.e. the PCC ("Point of Common Coupling").	REFERENCE
Wind parks may comprise a substation including e.g. wind park transformers that convert power from the wind park voltage to a grid voltage.	REFERENCE
Such a substation may further include wind park control systems e.g. a supervisory control and data acquisition system (SCADA).	REFERENCE
Wind parks may be arranged on land ("onshore"), or in the water ("offshore"), either as a plurality of floating wind turbines or with wind turbines on pillars fixed in the sea bed.	REFERENCE
In wind turbines, there are electrical components which are required to operate continuously, even during stand-by situations.	REFERENCE
These components may include components related to air conditioning systems, sensors, PLCs, beacons and protective systems among others.	REFERENCE
There are also components which are less critical.	REFERENCE
These components may be required to operate only occasionally during stand-by situations.	REFERENCE
These components may include lubrication pumps, lighting systems, the service lift, pitch and yaw systems among others.	REFERENCE
In summary, power supply must always be available for at least some of the electrical components forming part of a wind turbine.	REFERENCE
And for some other electrical components, power supply may need to be ensured intermittently.	REFERENCE
However, connection with the grid may be lost during planned maintenance, or during installation.	REFERENCE_PROBLEM
Additionally, sometimes the wind turbine has to be stopped for an inspection and the connection of the transformer to the grid has to be cut.	REFERENCE_PROBLEM
Wind turbines that are disconnected from the medium voltage or high voltage collector system for repair or maintenance work cannot provide electrical power.	REFERENCE_PROBLEM
In these cases one or more auxiliary power sources may be provided for most of the electrical components.	REFERENCE
For example, a plurality of auxiliary power generators e.g. diesel generators may be installed at individual wind turbines to be able to supply power to each wind turbine individually.	REFERENCE
Or alternatively, at least one more powerful auxiliary power generator may be provided at the central substation supplying all wind turbines simultaneously.	REFERENCE
Additionally, when the grid comes back after a grid disconnection, the voltage at a DC-link forming part of the wind turbine may be at or close to zero volts.	REFERENCE
Once the grid is connected back to the wind turbine, the DC - link and the wind turbine main transformer which is connected to the DC-link are energized in a very short time, thus resulting in very high in-rush currents which can be unacceptable to the collector grid, and can damage the transformer and electronic components within the DC-link.	REFERENCE_PROBLEM
For such systems, inrush current protection devices may be needed in order to overcome these drawbacks.	REFERENCE_PROBLEM
One further known approach is disclosed in EP2647839.	REFERENCE
This document discloses that when a turbine is in regular operation, a main power circuit may be energized and connected to power grid by way of a first current interrupting element, and electrical power may be provided from a DFIG (Doubly Fed Induction Generator) to the power grid.	REFERENCE
Furthermore, in regular operation, an auxiliary circuit may be energized and connected to a junction by way of a second current interrupting element.	REFERENCE
Electrical power can thus be provided from DFIG to auxiliary components, with the electrical power from main power transformer being converted to the appropriate voltage by auxiliary transformer.	REFERENCE
However, during maintenance operations, the DFIG may be shut down, and the main power circuit may be isolated from the power grid.	REFERENCE
This can de-energize the wiring, assemblies, and components of the main circuit, thereby reducing the risk of electrocution during maintenance operations.	REFERENCE_ADVANTAGE
However, when the main circuit is isolated, the auxiliary circuit may remain connected to the power grid by way of a junction and a second current interrupting element.	REFERENCE_ADVANTAGE
Power can thus be back-fed from the grid to the auxiliary transformer, and to the auxiliary components of wind turbine.	REFERENCE_ADVANTAGE
