COMPACT HEAD-MOUNTED DISPLAY SYSTEM HAVING UNIFORM IMAGE	PATENT TITLE
Field of the Invention	SECTION TITLE
The present invention relates to substrate-guided optical devices, and particularly to devices which include a plurality of reflecting surfaces carried by a common light- transmissive substrate, also referred to as a light-guide optical element (LOE).	TECHNICAL FIELD
The invention can be implemented to advantage in a large number of imaging applications, such as, for example, head-mounted and head-up displays, cellular phones, compact displays, 3-D displays, compact beam expanders as well as non-imaging applications such as flat-panel indicators, compact illuminators and scanners.	INVENTION_ADVANTAGE
Background of the Invention	SECTION TITLE
One of the important applications for compact optical elements is in head-mounted displays, wherein an optical module serves both as an imaging lens and a combiner, in which a two-dimensional display is imaged to infinity and reflected into the eye of an observer.	REFERENCE
The display can be obtained directly from either a spatial light modulator (SLM) such as a cathode ray tube (CRT), a liquid crystal display (LCD), an organic light emitting diode array (OLED), or a scanning source and similar devices, or indirectly, by means of a relay lens or an optical fiber bundle.	REFERENCE
The display comprises an array of elements (pixels) imaged to infinity by a collimating lens and transmitted into the eye of the viewer by means of a reflecting or partially reflecting surface acting as a combiner for non-see-through and see-through applications, respectively.	REFERENCE
Typically, a conventional, free-space optical module is used for these purposes.	REFERENCE
Unfortunately, as the desired field-of-view (FOV) of the system increases, such a conventional optical module becomes larger, heavier, bulkier, and therefore, even for a moderate performance device, is impractical.	REFERENCE_PROBLEM
This is a major drawback for all kinds of displays, but especially in head-mounted applications, wherein the system must necessarily be as light and as compact as possible.	REFERENCE_PROBLEM
The strive for compactness has led to several different complex optical solutions, all of which, on one hand, are still not sufficiently compact for most practical applications, and, on the other hand, suffer major drawbacks in terms of manufacturability.	REFERENCE_PROBLEM
Furthermore, the eye-motion-box (EMB) of the optical viewing angles resulting from these designs is usually very small - typically less than 8 mm.	REFERENCE_PROBLEM
Hence, the performance of the optical system is very sensitive, even to small movements of the optical system relative to the eye of the viewer, and do not allow sufficient pupil motion for conveniently reading text from such displays.	REFERENCE_PROBLEM
The teachings included in Publication Nos. WO01/95027, WO03/081320, WO2005/024485, WO2005/024491, WO2005/024969, WO2005/124427, WO2006/013565, WO2006/085309, WO2006/085310, WO2006/087709, WO2007/054928, WO2007/093983, WO2008/023367, WO2008/129539, WO2008/149339, WO2013/175465, IL 232197, IL 235642, IL 236490 and IL 236491, all in the name of Applicant, are herein incorporated by references.	REFERENCE
Disclosure of the Invention	SECTION TITLE
The present invention facilitates the design and fabrication of very compact LOEs for, amongst other applications, head-mounted displays.	INVENTION_ADVANTAGE
The invention allows relatively wide FOVs together with relatively large eye-motion-box values.	INVENTION_ADVANTAGE
The resulting optical system offers a large, high-quality image, which also accommodates large movements of the eye.	INVENTION_ADVANTAGE
The optical system offered by the present invention is particularly advantageous because it is substantially more compact than state-of-the-art implementations, and yet it can be readily incorporated even into optical systems having specialized configurations.	INVENTION_ADVANTAGE
A further application of the present invention is to provide a compact display with a wide FOV for mobile, hand-held applications such as cellular phones.	EMBODIMENT
In today's wireless internet-access market, sufficient bandwidth is available for full video transmission.	REFERENCE
The limiting factor remains the quality of the display within the device of the end-user.	REFERENCE_PROBLEM
The mobility requirement restricts the physical size of the displays, and the result is a direct-display with poor image viewing quality.	REFERENCE_PROBLEM
The present invention enables a physically very compact display with a very large virtual image.	INVENTION_ADVANTAGE
This is a key feature in mobile communications, and especially for mobile internet access, solving one of the main limitations for its practical implementation.	INVENTION_ADVANTAGE
The present invention thereby enables the viewing of the digital content of a full format internet page within a small, hand-held device, such as a cellular phone.	INVENTION_ADVANTAGE
The broad object of the present invention is therefore to alleviate the drawbacks of state-of-the-art compact optical display devices and to provide other optical components and systems having improved performance, according to specific requirements.	INVENTION_ADVANTAGE
In accordance with the present invention there is therefore provided an optical device, comprising a light-transmitting substrate having an input aperture, an output aperture, at least two major surfaces and edges, an optical element for coupling light waves into the substrate by total internal reflection, at least one partially reflecting surface located between the two major surfaces of the light-transmitting substrate for partially reflecting light waves out of the substrate, a first transparent plate, having at least two major surfaces, one of the major surfaces of the transparent plate being optically attached to a major surface of the light-transmitting substrate defining an interface plane, and a beam-splitting coating applied at the interface plane between the substrate and the transparent plate, wherein light waves coupled inside the light-transmitting substrate are partially reflected from the interface plane and partially pass therethrough.	REPHRASED CLAIM
Brief Description of the Drawings	SECTION TITLE
The invention is described in connection with certain preferred embodiments, with reference to the following illustrative figures so that it may be more fully understood.	JURIDICAL TEMPLATE
With specific reference to the figures in detail, it is stressed that the particulars shown are by way of example and for purposes of illustrative discussion of the preferred embodiments of the present invention only, and are presented in the cause of providing what is believed to be the most useful and readily understood description of the principles and conceptual aspects of the invention.	JURIDICAL TEMPLATE
In this regard, no attempt is made to show structural details of the invention in more detail than is necessary for a fundamental understanding of the invention.	JURIDICAL TEMPLATE
The description taken with the drawings are to serve as direction to those skilled in the art as to how the several forms of the invention may be embodied in practice.	JURIDICAL TEMPLATE
In the drawings:	FIGURE DESCRIPTION
Fig. 1 is a side view of an exemplary prior art light-guide optical element;	FIGURE DESCRIPTION
Figs. 2A and 2B are diagrams illustrating detailed sectional views of an exemplary array of selectively reflective surfaces;	FIGURE DESCRIPTION
Fig. 3 is a schematic sectional-view of a reflective surface with two different impinging rays, according to the present invention;	FIGURE DESCRIPTION
Fig. 4 illustrates a sectional view of an exemplary array of selectively reflective surfaces wherein a transparent plate is attached to the substrate edge;	FIGURE DESCRIPTION
Fig. 5 is a schematic sectional-view of a reflective surface according to the present invention, illustrating the actual active aperture of the surface;	FIGURE DESCRIPTION
Fig. 6 illustrates the active aperture size of the reflecting surfaces as a function of the field angle, for an exemplary LOE;	FIGURE DESCRIPTION
Fig. 7 illustrates detailed sectional views of the reflectance from an exemplary array of selectively reflective surfaces, for three different viewing angles;	FIGURE DESCRIPTION
Fig. 8 illustrates the required distance between two adjacent reflecting surfaces as a function of the field angle, for an exemplary LOE;	FIGURE DESCRIPTION
Fig. 9 is another schematic sectional-view of a reflective surface with two different impinging rays, according to the present invention;	FIGURE DESCRIPTION
Fig. 10 illustrates a sectional view of an exemplary array of selectively reflective surfaces having a wedged transparent plate is attached to the substrate edge;	FIGURE DESCRIPTION
Fig. 11 is another schematic sectional-view of a reflective surface with two different impinging rays, according to the present invention, wherein the two rays are reflected from two partially reflecting surfaces;	FIGURE DESCRIPTION
