EMBEDDED SUBSTRATE AND MANUFACTURING METHOD THEREFOR	PATENT TITLE
This application claims priority to Chinese Patent Application No. 201710313770.5, filed with the Chinese Patent Office on May 5, 2017 and entitled "EMBEDDED SUBSTRATE AND MANUFACTURING METHOD FOR MANUFACTURING EMBEDDED SUBSTRATE", which is incorporated herein by reference in its entirety.	REFERENCE
TECHNICAL FIELD	SECTION TITLE
This application relates to the field of electronic materials and component technologies, and in particular, to an embedded substrate and a method for manufacturing an embedded substrate.	TECHNICAL FIELD
BACKGROUND	SECTION TITLE
Embedded component packaging (ECP) is a packaging form in which electronic components such as a capacitor, a resistor, and a chip are embedded in a substrate.	DEFINITION
The embedded component packaging, which can shorten a link path between the components, reduce a transmission loss, improve product integration, reduce an outer dimension of a module, and improve reliability and electro-thermal performance of a product, is an important means of achieving multifunctionality and high performance of a portable electronic device.	DEFINITION
In an existing production process, the embedded component packaging is usually implemented by using drilling and plating processes.	REFERENCE
As shown in FIG. 1, FIG. 1 is a schematic structural diagram of an existing substrate based on the embedded component packaging (referred to as an embedded substrate hereinafter).	FIGURE DESCRIPTION
A chip 102 required by the embedded substrate is embedded in a substrate 101.	FIGURE DESCRIPTION
The chip 102 is disposed with various pins 1020, a plurality of drill holes 104 are disposed on the substrate 101 by using a drilling process, and a conductive material (for example, copper) is filled in the drill holes 104 by using a plating process or the like, so that the pins on a component 102 extend out of the substrate 101 by using the conductive material in the drill holes 104, to interconnect the chip 102 with another chip.	FIGURE DESCRIPTION
It can be learned that according to the existing embedded component packaging process, laser generated when the drill holes 104 are drilled damage the chip.	REFERENCE_PROBLEM
In an actual machining process, a minimum hole diameter of a drill hole of a drilling device is limited by performance of the drilling device, and a drilling offset possibly caused by a deviation is controlled in a drilling process.	REFERENCE_PROBLEM
Due to such limiting factors, for a chip having relatively dense pins, such as an integrated chip, pins disposed on the chip are also very dense.	REFERENCE_PROBLEM
To avoid damaging the chip, drill holes cannot be excessive large or cannot be deviated in position.	REFERENCE_PROBLEM
This is a difficulty in the existing drilling process.	REFERENCE_PROBLEM
SUMMARY	SECTION TITLE
Embodiments of this application provide an embedded substrate and a method for manufacturing an embedded substrate, so as to resolve a problem in an existing embedded component packaging process that a hole diameter of a drill hole cannot exceed a pad size of a chip.	INVENTION_ADVANTAGE
According to a first aspect, an embodiment of this application provides an embedded substrate.	REPHRASED CLAIM
The embedded substrate includes a substrate and a chip embedded in the substrate.	REPHRASED CLAIM
A metal boss is disposed at a pin on the chip, and the pin is electrically connected to one end of the metal boss.	REPHRASED CLAIM
A height direction of the metal boss is perpendicular to a plane in which the chip is located, and a height value of the metal boss is greater than 100 micrometers.	REPHRASED CLAIM
A first surface of the substrate is disposed with a conductive layer matching a connection requirement of the pin.	REPHRASED CLAIM
The first surface is a surface of the substrate that is parallel to the chip and that is closest to the metal boss.	REPHRASED CLAIM
A drill hole is opened between the other end of the metal boss and the conductive layer on the substrate, and a conductive material is filled in the drill hole, to connect the pin having the connection requirement on the chip to the conductive layer by using the metal boss and the conductive material.	REPHRASED CLAIM
A cross section of the drill hole exceeds a cross section range of the other end of the metal boss.	REPHRASED CLAIM
According to this implementation, when it is ensured that a pin on an electronic component embedded in the substrate is normally connected, because the metal boss has a particular height (greater than 100 micrometers), a particular distance may be maintained between the drill hole and the chip.	INVENTION_ADVANTAGE
In this way, even though the drill hole exceeds a top surface range of the metal boss, an exceeded region may have a substrate material whose thickness is the same as the height of the metal boss, to protect the chip from being damaged.	INVENTION_ADVANTAGE
Therefore, in an actual machining process of the embedded substrate provided in this embodiment of this application, there is no need to limit a hole diameter of the drill hole based on a pad size or a metal boss size.	INVENTION_ADVANTAGE
For an embedded-substrate factory, this embodiment of this application may be applied to expand a chip type selection scope.	EMBODIMENT
That is, embedded packaging may be performed on any chip, with no need to consider whether a minimum hole diameter that can be reached by a drilling device of the embedded-substrate factory is less than a pad size of a chip.	EMBODIMENT
For a chip provider, this embodiment of this application may be applied to expand an embedded-substrate factory selection scope, and a minimum hole diameter that can be reached by a drilling device of each embedded-substrate factory is no longer a main selection limiting factor.	INVENTION_ADVANTAGE
Therefore, selection may be performed depending only on a factor such as a quotation, thereby helping reduce chip packaging costs.	INVENTION_ADVANTAGE
In addition, because the hole diameter of the drill hole in this embodiment of this application is not limited by the pad size or the metal boss size of the chip, in an actual packaging process, the hole diameter of the drill hole may be increased as much as possible, so as to improve through-flow and heat dissipation capabilities of the embedded substrate.	INVENTION_ADVANTAGE
Optionally, the substrate includes an intermediate substrate layer configured to embed the chip and the metal boss, and a first surface substrate layer laminated on one surface of the intermediate substrate layer.	REPHRASED CLAIM
An outer surface of the first surface substrate layer is used as the first surface, and is disposed with the conductive layer, and the drill hole is opened in a region corresponding to each metal boss on the first surface substrate layer.	REPHRASED CLAIM
Optionally, the substrate further includes a second surface substrate layer laminated on the other surface of the intermediate substrate layer.	REPHRASED CLAIM
Optionally, the intermediate substrate layer, the first surface substrate layer, and the second surface substrate layer each are machined from a resin.	REPHRASED CLAIM
The conductive layer includes a metal plating layer.	REPHRASED CLAIM
Optionally, the embedded substrate further includes a resistor-capacitor component embedded in the substrate.	REPHRASED CLAIM
A drill hole is opened between a connecting terminal of the resistor-capacitor component and the conductive layer, a conductive material is filled in the drill hole, and the connecting terminal of the resistor-capacitor component is connected to the conductive layer by using the conductive material in the corresponding drill hole.	REPHRASED CLAIM
The embedded substrate provided in this implementation is simple in structure, and a required process and material are easy to implement and obtain, without increasing manufacturing costs.	INVENTION_ADVANTAGE
Especially, the metal boss is disposed at the pin on the chip, resolving a problem in a conventional embedded component packaging process that a hole diameter of a drill hole is limited by a pad size of a chip, making a drilling operation more easily performed without damaging the chip, expanding the chip type selection scope for the substrate factory, expanding the embedded-substrate factory selection scope for the chip provider, and helping save chip packaging costs.	INVENTION_ADVANTAGE
In addition, because this embodiment of this application imposes no limitation on the hole diameter of the drill hole, the hole diameter can be increased as much as possible, to facilitate through-flow and heat dissipation of the embedded substrate.	INVENTION_ADVANTAGE
According to a second aspect, an embodiment of this application further provides a method for manufacturing an embedded substrate.	REPHRASED CLAIM
The method includes: disposing a metal boss at each pin on a chip required by the embedded substrate, and electrically connecting the pin to one end of the metal boss, where a height direction of the metal boss is perpendicular to a plane in which the chip is located, and a height value of the metal boss is greater than 100 micrometers;	REPHRASED CLAIM
determining, based on a preset structure of the embedded substrate, relative positions of electronic components required by the embedded substrate, where the electronic components include the chip to be embedded;	REPHRASED CLAIM
filling a substrate material between the electronic components whose relative positions are determined, to form a substrate, so that the electronic components and the metal boss are embedded in the substrate;	REPHRASED CLAIM
disposing a conductive layer on a first surface of the substrate based on a connection requirement of each electronic component, where the first surface is a surface of the substrate that is parallel to the chip and that is closest to the metal boss;	REPHRASED CLAIM
and opening a drill hole between the other end of the metal boss and the conductive layer on the substrate, and filling a conductive material in the drill hole, to connect a pin having a connection requirement on the chip to the conductive layer by using the metal boss and the conductive material, where a cross section of the drill hole exceeds a cross section range of the other end of the metal boss.	REPHRASED CLAIM
According to this implementation, the cross section of the drill hole exceeds the cross section range of the other end of the metal boss.	REPHRASED CLAIM
Because the metal boss has a particular height, even though the cross section of the drill hole exceeds the cross section range of the other end of the metal boss, a substrate material having a substantial thickness protects the chip from being damaged.	INVENTION_ADVANTAGE
Therefore, according to this embodiment of this application, a mutual limitation between a pad size of a chip and a minimum hole diameter of a drill hole in the prior art can be eliminated.	INVENTION_ADVANTAGE
Persons skilled in the art may properly set a hole diameter of the drill hole based on factors such as drill hole density and chip heat dissipation.	EMBODIMENT
Optionally, the filling a substrate material between the electronic components whose relative positions are determined, to form a substrate includes: filling the substrate material between the electronic components whose relative positions are determined, to form an intermediate substrate layer, so that the chip and the metal boss are embedded in the intermediate substrate layer;	REPHRASED CLAIM
and laminating a substrate material on one surface of the intermediate substrate layer, to form a first surface substrate layer.	REPHRASED CLAIM
The disposing a conductive layer on a first surface of the substrate based on a connection requirement of each electronic component includes: disposing the conductive layer on an outer surface of the first surface substrate layer based on the connection requirement of each electronic component.	REPHRASED CLAIM
Optionally, the opening a drill hole between the other end of the metal boss and the conductive layer on the substrate includes: determining a drilling depth corresponding to each metal boss based on an actual embedding depth of the chip in the substrate and a height value of each metal boss;	REPHRASED CLAIM
and opening, based on the drilling depth, a drill hole in a region corresponding to each metal boss on the first surface substrate layer.	REPHRASED CLAIM
Optionally, the filling a substrate material between the electronic components whose relative positions are determined, to form a substrate further includes: laminating a substrate material on the other surface of the intermediate substrate layer, to form a second surface substrate layer.	REPHRASED CLAIM
Optionally, the electronic components further include a resistor-capacitor component.	REPHRASED CLAIM
The method further includes: opening, based on an actual embedding depth of the resistor-capacitor component in the substrate, a drill hole in a region corresponding to a connecting terminal of the resistor-capacitor component on the substrate, and filling a conductive material in the drill hole, so that the connecting terminal of the resistor-capacitor component is connected to the conductive layer by using the conductive material in the corresponding drill hole.	REPHRASED CLAIM
According to the method for manufacturing an embedded substrate provided in this embodiment of this application, there is no need to limit a hole diameter of the drill hole based on a pad size or a metal boss size.	INVENTION_ADVANTAGE
For an embedded-substrate factory, this embodiment of this application may be applied to expand a chip type selection scope.	EMBODIMENT
That is, embedded packaging may be performed on any chip, with no need to consider whether a minimum hole diameter that can be reached by a drilling device of the embedded-substrate factory is less than a pad size of a chip.	EMBODIMENT
For a chip provider, this embodiment of this application may be applied to expand an embedded-substrate factory selection scope, and a minimum hole diameter that can be reached by a drilling device of each embedded-substrate factory is no longer a main selection limiting factor.	EMBODIMENT
Therefore, selection may be performed depending only on a factor such as a quotation, thereby helping reduce chip packaging costs.	INVENTION_ADVANTAGE
In addition, because the hole diameter of the drill hole in this embodiment of this application is not limited by the pad size or the metal boss size of the chip, in an actual packaging process, the hole diameter of the drill hole may be increased as much as possible, so as to improve through-flow and heat dissipation capabilities of the embedded substrate.	INVENTION_ADVANTAGE
BRIEF DESCRIPTION OF DRAWINGS	SECTION TITLE
To describe technical solutions in this application more clearly, the following briefly describes the accompanying drawings that need to be used in the embodiments.	JURIDICAL TEMPLATE
Obviously, for persons of ordinary skill in the art, other drawings may be obtained according to these accompanying drawings without creative efforts.	JURIDICAL TEMPLATE
FIG. 1 is a schematic structural diagram of an existing embedded substrate;	FIGURE DESCRIPTION
FIG. 2 is a schematic structural diagram of an embedded substrate according to an embodiment of this application;	FIGURE DESCRIPTION
FIG. 3 is a schematic structural diagram of another embedded substrate according to an embodiment of this application;	FIGURE DESCRIPTION
FIG. 4 is a flowchart of a method for manufacturing an embedded substrate according to an embodiment of this application;	FIGURE DESCRIPTION
andFIG. 5 is a schematic process flowchart of a method for manufacturing an embedded substrate according to an embodiment of this application.	FIGURE DESCRIPTION
DESCRIPTION OF EMBODIMENTS	SECTION TITLE
FIG. 2 is a schematic structural diagram of an embedded substrate according to an embodiment of this application, and more specifically, is a sectional view along a thickness direction of the embedded substrate.	FIGURE DESCRIPTION
Referring to FIG. 2, the embedded substrate includes a substrate 21 and a chip 22 embedded in the substrate 21.	FIGURE DESCRIPTION
