PLASMA-GENERATING DEVICE	PATENT TITLE
Technical Field	SECTION TITLE
The present invention relates to a plasma-generating device for generating a plasma gas via electrical discharge between the ends of a pair of electrodes.	TECHNICAL FIELD
Background Art	SECTION TITLE
In a plasma-generating device, as disclosed in the patent literature below, processing gas is supplied to a reaction chamber and electric power is supplied to multiple electrodes arranged in the reaction chamber.	REFERENCE
As a result, electrical discharge is generated in the reaction chamber, and the processing gas is converted into plasma.	REFERENCE
Citation List	SECTION SUBTITLE
Patent Literature	SECTION SUBTITLE
Patent literature 1: JP-A-2016-038940	REFERENCE
Summary of Invention	SECTION TITLE
Technical Problem	SECTION SUBTITLE
In a plasma-generating device, because plasma is generated by electrical discharge between electrodes, members constituting the plasma-generating device deteriorate due to the electrical discharge.	REFERENCE_PROBLEM
Therefore, an object of the present disclosure is to prevent deterioration of a member constituting a plasma-generating device.	INVENTION_ADVANTAGE
Solution to Problem	SECTION SUBTITLE
To solve the above problems, disclosed herein is a plasma-generating device including: a pair of electrodes; a pair of holders configured to hold ends of the pair of electrodes in a protruding state;	REPHRASED CLAIM
and a casing configured to combine with the pair of holders, wherein the combined casing and the pair of holders contact each other only at an opposite side to a side between the ends of the pair of electrodes that project from the pair of holders.	REPHRASED CLAIM
Advantageous Effects	SECTION SUBTITLE
According to the present disclosure, it is possible to curtail entry of plasma and thus prevent deterioration of members constituting the plasma-generating device.	INVENTION_ADVANTAGE
Brief Description of Drawings	SECTION TITLE
Fig. 1 is a perspective view of an atmospheric pressure plasma generating device.	FIGURE DESCRIPTION
Fig. 2Fig 2 is an exploded view showing the atmospheric pressure plasma-generating device.	FIGURE DESCRIPTION
Fig. 3 is a cross section of the atmospheric pressure plasma-generating device.	FIGURE DESCRIPTION
Fig. 4 is a perspective view of an internal block.	FIGURE DESCRIPTION
Fig. 5 shows front, top, and side views of the internal block.	FIGURE DESCRIPTION
Fig. 6 is a perspective view showing a holding member.	FIGURE DESCRIPTION
Fig. 7 shows front, top, bottom, and side views of the holding member.	FIGURE DESCRIPTION
Fig. 8 is a plan view of the internal block.	FIGURE DESCRIPTION
Fig. 9 is an exploded view showing a conventional atmospheric pressure plasma-generating device.	FIGURE DESCRIPTION
Fig. 10 is a plan view showing an internal block of a conventional atmospheric pressure plasma-generating device.	FIGURE DESCRIPTION
Fig. 11 is a cross section showing an atmospheric pressure plasma-generating device of an alternative embodiment.	FIGURE DESCRIPTION
Description of Embodiments	SECTION TITLE
The following describes in detail referring to the figures an example embodiment of the present invention.	JURIDICAL TEMPLATE
(A) Configuration of the atmospheric pressure plasma-generating device	EMBODIMENT
Figs. 1 to 3 show an embodiment of the present invention, atmospheric pressure plasma-generating device 10.	FIGURE DESCRIPTION
Atmospheric pressure plasma-generating device 10 is for generating plasma at atmospheric pressure.	EMBODIMENT
Atmospheric pressure plasma-generating device 10 includes internal block 12, lower block 14, emitting nozzle 18, holding member 20, pair of electrodes 24 and 26, connecting member 28, and upper block 30.	FIGURE DESCRIPTION
Fig. 1 is a perspective view of atmospheric pressure plasma-generating device 10;	FIGURE DESCRIPTION
fig. 2 is an exploded view showing the atmospheric pressure plasma-generating device 10 without upper block 30;	FIGURE DESCRIPTION
fig. 3 is a cross section of atmospheric pressure plasma-generating device 10.	FIGURE DESCRIPTION
Internal block 12 is formed of ceramic and, as shown in figs. 4 and 5, is configured from generally cuboid main body section 32 and flange section 34 formed on an upper edge of main body section 32.	FIGURE DESCRIPTION
Fig. 4 is a perspective view of internal block 12, and fig. 5 is a front view of the internal block 12A, a top view of the internal block 12B, and a side view of the internal block 12C.	FIGURE DESCRIPTION
A pair of cylindrical recesses 36 and 38 are formed on an upper surface of flange section 34 of internal block 12.	FIGURE DESCRIPTION
Further, connecting recess 40 is formed from the bottom surface of the pair of cylindrical recesses 36 and 38 toward the inside of main body section 32 so as to connect the pair of cylindrical recesses 36 and 38.	FIGURE DESCRIPTION
The width of connecting recess 40 is smaller than the diameters of cylindrical recesses 36 and 38, so the bottom surfaces of cylindrical recesses 36 and 38 are approximately U-shaped stepped surfaces 46 and 48.	FIGURE DESCRIPTION
Also, connecting recess 40 has a stepped shape whose width becomes narrower toward the bottom surface, and six first flow paths 50 are formed on the bottom surface of connecting recess 40 so as to extend vertically.	FIGURE DESCRIPTION
Further, the six first flow paths 50 open to the bottom surface of internal block 12.	FIGURE DESCRIPTION
Note that, the width direction of a component in this specification means a short direction, that is, a direction perpendicular to the longitudinal direction when the component is generally rectangular.	DEFINITION
The longitudinal direction is referred to as the length direction.	DEFINITION
As shown in fig. 2, lower block 14 has an approximately cuboid shape and is formed of ceramic.	FIGURE DESCRIPTION
Accommodation section 60 for accommodating internal block 12 is formed on an upper surface of lower block 14.	FIGURE DESCRIPTION
Accommodation section 60 is a bottomed hole that opens to an upper surface of lower block 14, and, as shown in fig. 3, is configured from first accommodation section 62 located on the bottom surface side and second accommodation section 64 located on the opening side.	FIGURE DESCRIPTION
The depth dimension of first accommodation section 62 is substantially the same as the height dimension of main body section 32 of internal block 12, and the width dimension and length dimension of first accommodation section 62 are slightly longer than the width dimension and length dimension of main body section 32 of internal block 12.	FIGURE DESCRIPTION
